Bin ID,Vendor,Part ID,Qty on Hand,Reorder Qty,Link to Purchase
22,Lite-On,SATA DVD Recordable/CD-RW Drive,2,1,https://www.amazon.com/Lite-Internal-Drive-Optical-IHAS124-14/dp/B00ERJXTE4/ref=sr_1_8?ie=UTF8&qid=1497896768&sr=8-8&keywords=dvd+sata+internal+drive
23,WD,Red 6TB NAS Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 64MB Cache 3.5 Inch - 60EFRX,2,1,https://www.amazon.com/Red-6TB-Hard-Disk-Drive/dp/B00LO3KR96
24,iFixit,iPhone 6 LCD/Digitizer Assembly,4,2,https://www.ifixit.com/Store/iPhone/iPhone-6-Display-Assembly-with-Front-Camera/IF268-000-7
25,Asus,Chromebit,2,1,https://www.amazon.com/CHROMEBIT-Stick-Desktop-RockChip-3288-C-LPDDR3L/dp/B0181JTPCU/ref=sr_1_1?ie=UTF8&qid=1497896532&sr=8-1&keywords=chromebit
26,Nvidia,Quadro K2200,2,1,https://www.amazon.com/PNY-NVIDIA-Quadro-Graphics-VCQK2200-PB/dp/B00MPXRYAE/ref=sr_1_1?ie=UTF8&qid=1497958506&sr=8-1&keywords=quadro+k2200
27,G.SKILL,Trident X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM 1600 (PC3 12800) Desktop Memory Model F3-1600C7Q-32GTX,2,1,https://www.amazon.com/dp/B009V514PK/ref=olp_product_details?_encoding=UTF8&me=
28,G.SKILL,Ripjaws 4 Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Desktop Memory Model F4-2400C15Q-32GRR,2,1,https://www.amazon.com/G-SKILL-Ripjaws-288-Pin-Desktop-F4-2400C15Q-32GRR/dp/B00NJR74HI/ref=sr_1_1?s=electronics&ie=UTF8&qid=1498160608&sr=1-1&keywords=F4-2400C15Q-32GRR
29,Samsung,850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/AM),2,1,https://www.amazon.com/Samsung-2-5-Inch-Internal-MZ-75E500B-AM/dp/B00OBRE5UE/ref=sr_1_1?s=electronics&ie=UTF8&qid=1498229060&sr=1-1&keywords=samsung+850+evo+500+gb
30,AmazonBasics,Lightning Cable (6 foot),3,3,https://www.amazon.com/AmazonBasics-Apple-Certified-Lightning-Cable/dp/B010S9N6OO/ref=sr_1_3?ie=UTF8&qid=1499432069&sr=8-3&keywords=lightning+cable
31,Huhuta,2.1A USB Wall Adapter,2,2,https://www.amazon.com/Charger-HUHUTA-Charging-Portable-Adapter/dp/B01MSHJQWZ/ref=sr_1_sc_2?ie=UTF8&qid=1499432181&sr=8-2-spell&keywords=huhata+2.1+amp
CAB32,AmazonBasics,14-Inch Laptop Bag,2,1,https://www.amazon.com/AmazonBasics-14-Inch-Laptop-Tablet-Bag/dp/B00DUGZFLK/ref=sr_1_1?ie=UTF8&qid=1497901000&sr=8-1&keywords=14.1+amazonbasics+bag
CAB33,AmazonBasics,15.6-Inch Laptop Bag,2,1,https://www.amazon.com/AmazonBasics-14-Inch-Laptop-Tablet-Bag/dp/B00DUGZFWY/ref=sr_1_1?ie=UTF8&qid=1497901000&sr=8-1&keywords=14.1%2Bamazonbasics%2Bbag&th=1
CAB34,Dell,Latitude 7480 i5-7300U 8GB 256GB SSD W10 Pro,2,1,https://www.amazon.com/Dell-J350V-Latitude-i5-7300U-Windows/dp/B01N6V1X4A/ref=sr_1_1?s=electronics&ie=UTF8&qid=1499458753&sr=1-1&keywords=Latitude+7480+7300u
CAB35,Dell,Precision 3520 i5-7440HQ 8GB 256GB SSD W10 Pro,2,1,https://www.amazon.com/Dell-Precision-i5-7440HQ-Certified-Refurbished/dp/B073G2XXTR/ref=sr_1_fkmr0_3?s=electronics&ie=UTF8&qid=1499458799&sr=1-3-fkmr0&keywords=precision+3520+7440hq
CAB36,Dell,Latitude 5580 i5-7440HQ 8GB 256GB SSD W10 Pro,2,1,https://www.amazon.com/Dell-8H9GC-Latitude-i5-7440HQ-Windows/dp/B01N155FW2/ref=sr_1_1?s=electronics&ie=UTF8&qid=1499458834&sr=1-1&keywords=latitude+5580+7440hq
CAB37,Dell,3GMVT Thunderbolt Dock TB16 240W black,2,1,https://www.amazon.com/Dell-Thunderbolt-Dock-Tb16-180W/dp/B06XN5ZFVX/ref=sr_1_2?s=electronics&ie=UTF8&qid=1499458861&sr=1-2&keywords=tb16+dock
CAB38,Dell,Thunderbolt Dock TB16 180W black,2,1,https://www.amazon.com/Dell-Thunderbolt-Dock-Tb16-180W/dp/B06XN5ZFVX/ref=sr_1_2?s=electronics&ie=UTF8&qid=1499458861&sr=1-2&keywords=tb16+dock
